"Country","Goodness"
"Albania",-0.903887128394194
"Armenia",-1.65565433960746
"Austria",0.499798642791971
"Azerbaijan",-1.14571848516949
"Belarus",-1.04333859921731
"Belgium",0.378313170037577
"Bosnia and Herz.",-0.380915849262239
"Bulgaria",-0.180348135022909
"Croatia",-0.0624187400477707
"Czechia",0.0713810741573865
"Denmark",0.465656674036123
"Estonia",0.147942901393468
"Finland",0.391573981582969
"France",0.255459923268353
"Georgia",-1.40647002083333
"Germany",0.388594531970237
"Greece",0.141804216136499
"Hungary",-0.137498844743907
"Iceland",0.335525399720584
"Ireland",0.217381650670186
"Italy",0.07425963044631
"Kosovo",-0.638274064171123
"Latvia",-0.00272126593806884
"Lithuania",0.107576641136677
"Luxembourg",0.362571211167086
"Moldova",-1.12954062829641
"Montenegro",-0.425997993753953
"Netherlands",0.205508859854205
"North Macedonia",-0.652015189060205
"Norway",0.395488814581446
"Poland",-0.0414228466303659
"Portugal",-0.214689979664671
"Romania",0.0257413666442355
"Russia",-0.856243744791666
"Serbia",-0.32412137640866
"Slovakia",-0.112989997131006
"Slovenia",0.144470496673004
"Spain",0.292531852383845
"Sweden",0.466224538276231
"Switzerland",0.435545412216508
"Turkey",-0.681809650088028
"Ukraine",-1.63992605034722
"United Kingdom",0.122464160303545
